gares,UIC,2015,2016,2017,2018,latitude,longitude
CHAGNY,87713578,464343,439981894095,461275,392678,46.907269,4.749682
CHAUMONT EN VEXIN,87381228,483719,472321771085,490901,392646,49.261390000000006,1.87274
SATHONAY RILLIEUX,87723700,299391,306687068985,363962,391843,45.820264,4.8753150000000005
LENTILLY,87721555,330415,341186278845,395910,391407,45.82163,4.667103
SALLANCHES COMBLOUX MEGEVE,87746438,384740,386257395392,411412,389159,45.935702,6.636431
MONTLUCON,87641001,475707,42958427615,432186,386620,46.338101,2.596159
LES CLAIRIERES DE VERNEUIL,87386664,406059,402805447742,398549,386022,48.9922407,1.9552650000000003
PETIT VAUX,87393652,376678,385845159039,384398,383421,48.675859,2.3339755
VILLENEUVE LOUBET,87756304,322873,33501145313,404818,380509,43.629928,7.134066000000001
BANDOL,87755223,383255,394520264107,426078,380402,43.140344,5.750118
PHALEMPIN,87286500,354358,341703679865,382441,380021,50.5154,3.0199
ALTKIRCH,87182238,355644,358549940248,388164,379683,47.6270174,7.2392493
MERIEL,87276675,338921,351309178525,369878,378755,49.07777,2.20528
COURVILLE SUR EURE,87394221,384193,365994116725,371373,377459,48.451236,1.234836
DOURDAN LA FORET,87540179,281344,318798373608,343508,376329,48.535314,1.9949080000000001
CAHORS,87613000,448317,435792274337,443887,373914,44.449275,1.433325
MEUNG SUR LOIRE,87574137,351263,336276546503,363228,372678,47.829926,1.6919279999999999
THUN LE PARADIS,87381822,349518,34814384,349928,372458,49.00687,1.9192200000000001
LIZY SUR OURCQ,87116632,329876,347351665697,362810,372150,49.021929,3.031718
CHANGIS SAINT JEAN,87116509,318992,339163045207,358514,370667,48.95936,3.025394
GAP,87763003,446858,431105149155,446455,368393,44.563693,6.085637999999999
SCHIRMECK LA BROQUE,87214692,401819,394230902493,396234,367270,48.479729999999996,7.21594
LA SEYNE SIX FOURS,87755264,349675,370489231604,407423,366694,43.116959,5.876966
VARANGEVILLE SAINT NICOLAS,87141101,317417,31891427688,365778,365340,48.63533929,6.31286037
ROMILLY SUR SEINE,87118158,382773,368117451898,368871,365097,48.514433000000004,3.7288870000000003
ALBERTVILLE,87741645,447873,413280876037,420262,363439,45.672977,6.383167
RETHEL,87172270,438181,413076556325,415115,362595,49.504393,4.369566000000001
BARR,87214247,378638,36330473016,373021,362335,48.403293299999994,7.4565189
FREPILLON,87276659,317993,338390893516,349908,359839,49.0462,2.1971700000000003
BOULOGNE TINTELLERIES,87317016,383316,365365496795,383423,357726,50.72729,1.60904
LA FERTE BERNARD,87396325,442860,411953457352,403104,357667,48.186488700000005,0.6397109999999999
CHAMPAGNE SUR OISE,87276519,294964,317692495935,344530,353481,49.13573,2.2415599999999998
SAINT JEAN DE MAURIENNE ARVAN,87742320,396826,384365677165,397194,353312,45.277542,6.354716000000001
FRONTIGNAN,87773556,401340,406562154745,423739,350713,43.444934,3.758689
BORNEL BELLE EGLISE,87276717,359394,373462684912,382303,348573,49.19471,2.20717
CHARMES,87144055,360765,35056281135,355509,345574,48.378483,6.301537000000001
AMPLEPUIS,87721035,361664,372581222042,397295,345515,45.970982,4.326844
DOMBASLE SUR MEURTHE,87141119,385871,364708372527,364452,344036,48.623275,6.343478
BRIGNAIS,87722728,256171,29763612292,340581,343286,45.6737721,4.7636595999999995
ARGENTAN,87444539,387799,364748498837,372634,343060,48.738545,-0.025291
MIRIBEL,87723528,353804,338665861848,356059,342954,45.822088,4.95394
GARGENVILLE,87381566,321188,32722386,328239,342920,48.98318,1.8089
LIANCOURT RANTIGNY,87276212,346075,35343284862,369065,342723,49.324709999999996,2.44532
MEZIDON CANON,87444208,397529,38825132057,386876,341993,49.071,-0.07496
VOREPPE,87747337,339514,317715762695,350280,340896,45.290417,5.632119
PRESLES COURCELLES,87276501,306031,319578272139,338305,340453,49.113459999999996,2.2875900000000002
SAINT RAMBERT D'ALBON,87761106,354871,359236448775,370028,339771,45.297796999999996,4.810849
BERGERAC,87584268,361849,343754219275,371690,339295,44.857061,0.489174
AUXONNE,87713347,337148,34016023129,355617,338385,47.192663,5.37737
LOZANNE,87721423,388852,37895489542,408359,337940,45.85414,4.681501
NORT SUR ERDRE,87481598,265831,298998452954,335380,337854,47.4419243,-1.5033645
QUIMPERLE,87476317,347135,333206413475,353182,336604,47.869375,-3.552693
SECLIN,87286518,323424,3288568834,344185,335336,50.5486319,3.0350083999999997
PAMIERS,87611343,443092,427223489197,431905,334225,43.116207,1.619451
COMBOURG,87478057,334446,328650402163,334961,333160,48.416090000000004,-1.7279200000000001
VAUX SUR SEINE,87381814,387707,38590428,403816,332221,49.00699,1.9634200000000002
SEDAN,87172254,409997,388028310683,380575,331568,49.695024,4.930373
TASSIN,87721514,291967,32565663455,343825,330688,45.761509999999994,4.75857
PONT PETIT,87276154,253813,274365648562,295774,328806,49.06004,2.13046
SIERENTZ,87182105,314449,320883201762,320660,327994,47.656046999999994,7.459142
CHAMPAGNE SUR SEINE,87682450,297613,307914578082,322847,327580,48.406531,2.799184
GARANCIERES LA QUEUE,87393439,322000,326271241816,331707,326533,48.8106338,1.7647546000000003
GRASSE,87757724,375035,345475446645,126470,325225,43.653317,6.925524
BOLLWILLER,87182709,323479,321937263515,326234,324461,47.8569694,7.267255499999999
MASSY VERRIERES,87383281,293168,305954529847,316810,322704,48.734309700000004,2.2736721
PIERRELATTE,87764308,357908,328305359613,356177,322604,44.374719,4.7037830000000005
SAINT VALLIER SUR RHONE,87761130,355464,34824148374,354429,322051,45.186395000000005,4.81439
CERONS,87582742,246131,265254693613,291943,321075,44.632346000000005,-0.340526
CASSIS,87751776,283616,297811595719,339869,320576,43.23406,5.5530550000000005
LA BASSEE,87342436,301583,32752902964,344024,318305,50.52799,2.80482
MUNSTER,87182394,343104,34504875954,345654,315192,48.0383438,7.1341728
TOUL,87141044,290084,288052101675,323295,314423,48.679018,5.880615
CARPENTRAS,87765735,149254,257686213175,356186,313065,44.049948799999996,5.044141000000001
CLERMONT LA PARDIEU,87782607,386177,362136377107,383228,310048,45.766946999999995,3.134163
DOURGES,87345165,314252,300881893152,318832,309676,50.43192,2.98697
MONTREUIL SUR ILLE,87478032,304407,302817941133,311629,309137,48.307292,-1.6741549999999998
CASTELNAUDARY,87615039,368305,372905004368,384937,309127,43.312292,1.95039
COLOMIERS,87611467,388807,368906002893,388358,308601,43.603734,1.3342209999999999
BLAINVILLE DAMELEVIERES,87141135,369727,348991558673,330346,307683,48.564971,6.386953
VESOUL,87185009,453328,412068009215,415106,306779,47.6177734,6.1519260000000004
MUTZIG,87214585,299946,306121290902,323407,305163,48.533775299999995,7.462158099999999
REMIREMONT,87144451,333505,313336006545,329057,303414,48.016363,6.598855
MAULE,87381723,285622,292874447866,298484,303254,48.90917,1.8570799999999998
CHARBONNIERES LES BAINS,87721530,283231,294320416965,316262,302447,45.782142,4.735912
LILLE CHR,87109306,271035,274847246883,299569,299508,50.61432,3.03432
RANG DU FLIERS VERTON BERCK,87317057,321071,305295628045,323683,299375,50.41579,1.64805
LEFOREST,87345223,278649,280768182522,310182,299177,50.4278,3.05977
MEUSE TGV,87147322,253133,2694225,306562,299141,48.978549,5.270954
TOURNUS,87725622,346205,305288265843,330762,298738,46.56668,4.906647
PONTCHAILLOU,87471391,272932,26131681212,290728,298567,48.11918,-1.69107
PORTET SAINT SIMON,87611400,430877,382069512508,388162,296556,43.527904,1.389243
BEAUTIRAN,87582700,223526,252580137593,275980,294931,44.701041,-0.45016999999999996
BRIGNOUD,87747451,319511,294370860425,324827,293856,45.26245,5.901472
AUDRUICQ,87281428,288767,29210520079,305750,291570,50.87567,2.0763599999999998
LE PUY EN VELAY,87734699,314622,298132698607,258444,290301,45.042866,3.892421
SAINT ANDRE DE CORCY,87723734,296470,298633406045,312523,288219,45.925911,4.948846
BONNEVILLE,87746339,245051,248596013452,296238,287469,46.077771999999996,6.416524
SAINT AVOLD,87193318,333759,3092579955,329339,286866,49.085873,6.720614100000001
ALBIGNY NEUVILLE,87721266,299538,289737876352,307525,286806,45.874921,4.8328739999999994
SAINT CYPRIEN ARENES,87446179,380889,354885403395,360548,286794,43.593438,1.417986
L'ISLE JOURDAIN,87611806,327705,32778034721,348704,286500,43.617185,1.0898290000000002
MESSAC GUIPRY,87471185,316615,306947271747,306944,285553,47.82225,-1.8182200000000002
HABSHEIM,87182089,281835,276789872808,285021,284751,47.737691,7.417978999999999
BIOT,87757690,314143,244870556704,299102,284370,43.610951,7.12609
MOMMENHEIM,87212142,255341,26370041168,272518,283988,48.75615870000001,7.6422273
ALOUETTE FRANCE,87581793,239759,231359035465,258716,283035,44.793355,-0.65965
INGWILLER,87213785,279117,279553892732,287070,279666,48.8723277,7.477155000000001
VIARMES,87276568,258891,259067586817,270098,279178,49.11692,2.3683799999999997
BARENTIN,87411264,350326,31844518631,298319,278674,49.549123,0.9535170000000001
BILLY MONTIGNY,87345140,266380,254399321225,277286,276449,50.41556,2.91206
JUZIERS,87381558,262449,25135922,251830,276242,48.99244,1.84579
NUITS SAINT GEORGES,87713529,317028,299429195022,302742,275836,47.130545,4.9562040000000005
LOCHES,87571471,280681,277853855062,268036,275147,47.130464,1.000467
GENLIS,87713313,292316,284779543347,299221,275055,47.244578999999995,5.223406
DON SAINGHIN,87286435,293755,2868431408,295907,274350,50.551759999999994,2.91458
VERGEZE CODOGNAN,87775114,266238,276713206538,309295,272755,43.739877,4.2188419999999995
CANNES LA BOCCA,87757617,239710,244093039273,436793,272091,43.548787,6.986600999999999
VALOGNES,87447284,314459,296430993085,306272,271835,49.505454,-1.47986
THAON,87144097,337419,302094233985,304609,271513,48.24465,6.416384
MAIZIERES LES METZ,87191106,308818,295450007395,303790,270820,49.2155349,6.1588762
LE TEICH,87582601,243485,237255064183,258851,268380,44.632507000000004,-1.025556
FIRMINY,87726729,308309,26882264798,361140,267265,45.391625,4.28643
SALON,87753764,282394,262942861962,280702,266415,43.639061,5.088569000000001
MER,87574194,282408,264216429255,273336,266397,47.705859999999994,1.506373
LANGEAIS,87571828,239394,238328009388,258389,265823,47.324114,0.41055699999999995
PONTCHATEAU,87481846,292744,292236552117,282801,265775,47.435399,-2.0882009999999998
CARBONNE,87611061,356478,330630862175,344989,264763,43.298206,1.212531
LENTILLY CHARPENAY,87566919,194189,22845435953,277917,264640,45.8165247,4.6824009
LILLERS,87342238,338450,318027627748,315620,262906,50.56163,2.47903
GRANVILLE,87447680,247228,265248821888,270131,261452,48.838456,-1.5877569999999999
MARCHEZAIS BROUE,87393470,364703,306606298053,289466,259068,48.7684736,1.513444
ELBEUF SAINT AUBIN,87411173,290970,254212152942,259269,258562,49.302766,1.00993
ROSHEIM,87214320,238821,248873617173,258569,258334,48.50525,7.4909300000000005
HOCHFELDEN,87212167,262622,260968718808,272514,257706,48.7554199,7.572355
CHAMPBENOIST POIGNY,87115873,196027,216719063279,238331,257554,48.545567,3.2874339999999997
ROGNAC,87753251,300530,278746744239,286566,256571,43.4866,5.230666
CULOZ,87741074,278419,277122591915,287683,256445,45.843264000000005,5.778784
MODANE,87742007,244399,242946304078,268171,256314,45.193365,6.658161
ONZAIN CHAUMONT SUR LOIRE,87574319,281944,282984965835,288300,255449,47.492,1.18595
GAILLAC,87615252,288958,280319529947,301624,255107,43.905969,1.894855
ECULLY LA DEMI LUNE,87721506,188629,228799795335,261285,254404,45.7657162,4.7795238
L'ISLE D'ABEAU,87761239,286944,246449978715,264152,251901,45.607645,5.21969
SAINT QUENTIN FALLAVIER,87723387,248046,239492340278,249271,251594,45.638109,5.099896
CASTELNAU D'ESTRETEFONDS,87611665,259846,279538059858,293928,251266,43.786196000000004,1.341761
SALBRIS,87543165,244166,242053954425,250790,249709,47.42522,2.04778
FAREMOUTIERS POMMEUSE,87116277,265345,262453811725,258720,249424,48.808494,2.993109
HOERDT,87213686,246304,247311739563,247972,248690,48.7029518,7.7794059
REMILLY,87192237,272987,2555233829,263310,248345,49.0140249,6.3950968
BEYNOST,87723544,227335,23217068169,252573,247532,45.833915000000005,5.006969000000001
AUFFAY,87415158,247195,233186520475,235795,246409,49.716044000000004,1.098441
VIC LE COMTE,87734186,270885,256770730742,269698,246102,45.664911,3.2070790000000002
MENTON GARAVAN,87756494,264983,263260554833,287747,245995,43.785202000000005,7.517297
TARASCON,87765354,274583,26635645297,282880,245829,43.801331,4.6572059999999995
MAISSE,87681486,219092,22968755531,240004,245370,48.39304,2.39312
LA REOLE,87582866,246650,245251414995,257120,244738,44.579741999999996,-0.03057
OBERMODERN,87213165,242664,245036968737,245810,244237,48.842608299999995,7.547014999999999
WISSEMBOURG,87213470,242686,234636516185,250868,242593,49.0318895,7.950143499999999
ROUFFACH,87182337,227881,2316012535,248589,242550,47.9602481,7.312455
LANNION,87473223,212904,219925259607,239673,240091,48.727638,-3.460353
AUCH,87611749,290912,271358043502,299012,239984,43.647488,0.596661
VITRY LE FRANCOIS,87174276,302630,277761353985,290191,239053,48.718142,4.587581
BRAX LEGUEVIN,87611822,332245,299643370598,284092,238862,43.614887,1.2369219999999999
LISON,87447219,284832,261860136843,279334,237956,49.226834000000004,-1.050339
SAINT GERMAIN EN LAYE BEL AIR FOURQUEUX,87366922,247973,25716178,249451,237403,48.894940000000005,2.0705
RIXHEIM,87182071,254103,25224818445,246039,235204,47.74896,7.406403999999999
VILLABE,87681619,234474,236879396323,237711,234977,48.592636999999996,2.4615720000000003
ROUBAIX,87286732,138692,162130714815,203234,233584,50.695609999999995,3.16348
SAINT LO,87447003,274123,258468332982,265061,233298,49.116975,-1.099525
SEREZIN,87722546,231956,217855923665,229907,232096,45.627159999999996,4.81806
VAUBOYEN,87393538,212720,22154389191,228105,231288,48.759057500000004,2.192119
FISMES,87171330,249464,244836622132,256425,231070,49.310665,3.6821300000000003
SOULTZ SOUS FORETS,87213421,226448,223433142245,239074,229328,48.934768700000006,7.882718400000001
LE PALLET,87481424,183978,200280385207,230553,229230,47.143831,-1.346898
BOISSY L'AILLERIE,87381152,242219,25149018,273037,228918,49.07598,2.02513
SAINT DIZIER,87175000,288283,27343749043,269647,228600,48.642404,4.947855000000001
CARENTAN,87447243,250138,237106364643,255168,228589,49.302482,-1.2449379999999999
NOISY LE ROI,87393876,239464,25137166,241972,228439,48.841518900000004,2.0618388
ROYAN,87491803,297748,281593515628,279978,228154,45.625886,-1.0167030000000001
ACHERES GRAND CORMIER,87386052,241046,238687637769,235698,228032,48.955183500000004,2.0919031
SAINT GAUDENS,87611137,344047,321603749255,331067,227394,43.105034,0.729104
CHALONNES,87484204,254597,247385413105,252698,227152,47.343059999999994,-0.74306
FOIX,87611616,308721,276252123857,284877,227132,42.969746,1.6071469999999999
COLOMIERS LYCEE INTERNATIONAL,87611921,318979,31376251679,291451,226691,43.6163055,1.3141156999999999
EVRON,87478552,226459,23445443718,240159,226638,48.155501,-0.397338
LAMOTTE BEUVRON,87543140,252593,23909674496,234230,226203,47.593897999999996,2.0224990000000003
LA VALBONNE,87723577,234778,22885307939,243993,225353,45.849225,5.124911
LA SOUTERRAINE,87592378,242616,232792677255,250017,224841,46.239792,1.492151
GAMBSHEIM,87212332,200663,20874036655,226000,224116,48.69486989999999,7.8791884
SAINT MAURICE DE BEYNOST,87723536,175857,196823439432,229533,223692,45.827421,4.976986
ORGERUS BEHOUST,87393447,218522,221925520608,223743,223646,48.8267809,1.7028343999999997
BERGUES,87281105,223800,213092615018,227120,223631,50.96901,2.4257400000000002
FAULQUEMONT,87193359,226840,2216472736,238995,223630,49.0453391,6.603977400000001
SAIN BEL,87721605,190384,20080418108,222676,220851,45.811097,4.6012445
VILLEFRANCHE DE LAURAGAIS,87615013,274888,276094815545,278190,220386,43.398537,1.714725
REVIN,87172080,288581,279310397438,248436,220287,49.938756,4.642536
REZE PONT ROUSSEAU,87481036,141414,183973308105,204300,220270,47.1932425,-1.5495444999999999
SAINTE PAZANNE,87481226,286259,20934202565,212705,220171,47.1055419,-1.8138743999999998
FOURMIES,87295048,253606,232693255513,236132,219996,50.015409999999996,4.05357
PONTARLIER,87715003,220621,22049391657,233759,219841,46.900944,6.353524
BAUVIN PROVIN,87345280,216372,217562032912,225098,219799,50.51168,2.9054
ROSIERES AUX SALINES,87141127,193328,210400111028,205028,219305,48.60563,6.350457
BULLY GRENAY,87342105,255861,245573785767,247573,218631,50.44843,2.73317
MONTIGNY SUR LOING,87684100,219851,222594468289,220429,218584,48.33661,2.7385610000000002
MONTAUBAN DE BRETAGNE,87471086,206894,203332949117,212344,218045,48.190241,-2.052675
BONNIERES,87415893,179386,194245217276,209126,216639,49.038788000000004,1.5822049999999999
CROS DE CAGNES,87756338,179327,185346929088,224018,216465,43.660465,7.167111
CAVAILLON,87765503,242103,227151589138,242015,215619,43.834554,5.043613
SAINT MAIXENT L'ECOLE,87485490,252440,246284056677,252306,215028,46.406607,-0.201073
SAINTE FOY LA GRANDE,87584193,223337,21740387181,231977,214899,44.836886,0.221519
SAINT PIAT,87394148,226140,229690662145,222460,214577,48.5429526,1.5904889
COMMERCY,87175257,210915,200006084375,220061,214510,48.765749,5.58861
NOGENT SUR SEINE,87118190,242112,230479292332,231987,212809,48.49783878,3.49372888
LURE,87185249,245876,21841820953,236885,212071,47.683269,6.4925787
MULHOUSE DORNACH,87182055,218393,209778884317,217930,210550,47.74713,7.308477000000001
CHARS,87381194,204004,207620465714,208457,209881,49.16268,1.93671
NOYAL ACIGNE,87471540,179197,173325141495,181075,209880,48.1187915,-1.5277646
KRIMMERI MEINAU,87338525,188725,202022505602,214492,209658,48.56358,7.75259
LESQUIN,87286849,219147,217385405365,234085,209501,50.59068,3.1177099999999998
BOUSSENS,87611095,232257,217663482607,258391,209191,43.179617,0.972543
FEURS,87726877,226786,206565691275,235718,208608,45.744156,4.230573000000001
ISBERGUES,87342279,245167,220037793227,225503,208169,50.61399,2.46277
ISSOU PORCHEVILLE,87381574,201418,204045279998,205468,208003,48.97931,1.78532
PONT DE BEAUVOISIN,87741470,260827,229279958488,256461,207280,45.524636,5.680772
SAINT POL SUR TERNOISE,87342337,286520,266923015468,241922,207074,50.379129999999996,2.3393900000000003
BAZANCOURT,87171462,216728,22456193268,232532,206456,49.361202,4.173887000000001
DUTTLENHEIM,87214544,202676,201873422917,204673,205233,48.5453531,7.5661529000000005
THANN,87182568,212664,202822220835,208400,204901,47.8088208,7.1069795
ISSOUDUN,87597062,212196,211367105892,219390,204175,46.948763,1.985834
RODEZ,87613422,242820,238967436685,248179,203362,44.362633,2.5805599999999997
MONTIGNY EN OSTREVENT,87345306,236765,21971694892,222311,202130,50.361509999999996,3.1882900000000003
OSTRICOURT,87345249,199904,199105263968,208308,200465,50.44542,3.0324400000000002
BAUME LES DAMES,87718460,219640,212465857122,213721,200332,47.353937,6.359603
MOUY BURY,87313577,214117,214799433317,208109,199972,49.32045,2.32635
PAVILLY,87411272,215260,203385916085,203480,199895,49.563897,0.950644
JANZE,87471334,367720,306547798368,205288,199836,47.955364,-1.4975379999999998
VENISSIEUX,87723320,237815,22416030743,216601,199633,45.705551,4.888109
LES LAUMES ALESIA,87713115,208438,195231241478,215028,199605,47.543054,4.4626019999999995
CHATEAU DU LOIR,87396606,202387,201777020603,209846,199290,47.683392,0.414912
VENERQUE LE VERNET,87611392,235599,236890098252,245615,198958,43.433361,1.426079
CONNERRE BEILLE,87396309,223971,20624952274,209792,198421,48.0735,0.48686999999999997
CHASSE SUR RHONE,87722561,193953,180944169858,200597,197986,45.582370000000004,4.794843
FREJUS,87757500,141235,146109521076,207822,197968,43.432032,6.732941
LE POIRIER UNIVERSITE,87343210,183246,167957379963,194150,197807,50.330059999999996,3.50273
COSNE SUR LOIRE,87696146,243051,221177620503,223983,197774,47.413996000000004,2.931981
VIEUX THANN,87182550,197578,211678994812,211653,196620,47.8058505,7.119490400000001
MUSSIDAN,87595298,192306,188897879945,208577,196349,45.034329,0.354071
MONTDIDIER,87313346,209246,20242675482,204905,195937,49.64147,2.563
WEYERSHEIM,87213678,200372,196944209175,194925,194371,48.7177903,7.7971027
TACOIGNIERES RICHEBOURG,87393454,187380,192194250062,197551,193939,48.8295827,1.6689566000000002
HERRLISHEIM,87212340,197572,19014834417,194327,193665,48.72790560000001,7.9102594
FRASNE,87715136,208036,209326071512,215199,193651,46.857596,6.157767
BOHAIN,87296269,202770,209885547932,213904,193577,49.988414299999995,3.4431288999999996
REICHSHOFFEN,87213249,191628,19085932355,192260,193569,48.9310582,7.658132000000001
VILLERS BRETONNEUX,87313437,179064,181595546217,191817,192756,49.86295,2.52141
CROUY SUR OURCQ,87116640,190715,194637193001,193844,192720,49.091821,3.063081
IS SUR TILLE,87713859,216293,208226990958,218702,192670,47.520454,5.129481
ILLIERS COMBRAY,87394437,183481,178885434248,185400,192194,48.303937,1.2448745
TONNEINS,87586651,217313,204923078105,209789,191994,44.392796000000004,0.314093
EVIAN LES BAINS,87745679,234717,21726458559,231165,191801,46.397915000000005,6.577457000000001
AVESNES,87295733,226339,200795948013,207153,191697,50.126740000000005,3.93295
SAINT JULIEN EN GENEVOIS,87745430,205150,193729859832,220769,190519,46.142044,6.0855358
THANN SAINT JACQUES,87182881,199735,196238888873,201073,190006,47.8133155,7.0938473
GRESSWILLER,87214593,177838,187503228448,194057,189944,48.53334,7.42468
LAIGNEVILLE,87276204,176956,189531145222,201504,188990,49.292759999999994,2.4489400000000003
ORTHEZ,87672253,214120,197993572348,212692,188896,43.484242,-0.76776
LE VALDAHON,87718544,198603,189689977555,216255,188417,47.14975,6.342275
BELLOY SAINT MARTIN,87276550,171872,175250733783,182248,188233,49.09807,2.36135
BEYNES,87393363,171840,181070923365,189728,188216,48.8593599,1.8755696
ROTHAU,87214726,190150,190673344192,194915,187459,48.4590026,7.2074902000000005
SIMIANE,87751438,195468,191514201689,199261,187361,43.434746999999994,5.426148
CHALLANS,87481390,136259,177029891303,197601,187171,46.843962,-1.871879
LE MERIDIEN LA FERRIERE,87721522,155012,169704418013,187504,185874,45.7684995,4.7484432
CHAMARANDE,87545152,214309,202740258157,201279,185648,48.514244,2.215854
THOMERY,87682252,137995,153319409554,170995,184989,48.394462,2.763995
MORCENX,87673103,183129,17813244777,196185,184891,44.033565,-0.90864
PETIT JOUY LES LOGES,87393504,184454,187091141467,187858,184887,48.770943,2.1470147999999996
LES MARTRES DE VEYRE,87734178,209797,206407946805,205303,184266,45.688155,3.193228
LES ECHETS,87723718,178469,186855622285,203731,183734,45.8746675,4.9108215
SAINT VINCENT DE TYROSSE,87673277,175165,171492681578,200167,181906,43.657736,-1.3064930000000001
CHEMILLE,87484246,222088,20728336313,214149,181891,47.217748,-0.731989
LABEGE INNOPOLE,87612002,215599,186879644572,218406,180908,43.5473613,1.5129784
TIERCE,87484147,183633,181547735842,181367,180477,47.617532000000004,-0.469347
MOREUIL,87313320,183064,176991985322,171719,179575,49.776990000000005,2.47582
LA BORNE BLANCHE,87276287,203215,19510246513,190468,178673,49.126985,2.5058656000000004
BRIANCON,87763607,229994,228915189188,212292,177651,44.889853,6.633007000000001
ROSPORDEN,87474155,187865,19058773605,199107,176783,47.960273,-3.832763
SAINT ANDRE LE GAZ,87723494,162883,164392847475,175579,176138,45.544518,5.524187
LONGPRE LES CORPS SAINTS,87313122,184290,185253919382,194017,175305,50.01128,2.00277
L'ISLE SUR LA SORGUE FONTAINE DE VAUCLUSE,87765479,207370,198557780182,208822,175213,43.917393,5.047615
PINS JUSTARET,87618116,251956,236000432957,225485,174900,43.479213,1.399645
BARTENHEIM,87182113,175177,176985893635,182301,174751,47.6349313,7.4872561
BLERE LA CROIX,87574475,160351,15976947423,173976,174670,47.337722799999995,0.9877583000000001
LANCEY,87417501,155964,153897139542,175054,174190,45.2344784,5.8809758
LA FERTE SAINT AUBIN,87543124,171394,174188841745,183042,174064,47.720975,1.9323599999999999
MARQUISE RINXENT,87317339,213501,193749525657,200540,173916,50.8056635,1.7298799999999999
MORTEAU,87718619,197085,15731290889,186843,173391,47.053727,6.604653
GUICHEN BOURG DES COMPTES,87471151,158923,15892380848,164047,173265,47.9350963,-1.7601845
SAINT MAMMES,87682294,167217,172315789373,173639,172847,48.382171,2.81593
MONTVILLE,87411801,186933,179482046427,175120,171983,49.551284,1.0700459999999998
FIGEAC,87613091,204296,20091918507,209149,171463,44.603515,2.037355
AURILLAC,87645002,200801,178963640228,193417,171189,44.921092,2.435655
DETTWILLER,87212183,163089,167653325998,177122,171185,48.7518969,7.4652459
MONTBRISON,87726448,200826,17003736871,196299,170818,45.604454,4.078282
FECAMP,87413542,119024,104841983505,167634,170405,49.759277000000004,0.375287
COMMENTRY,87641415,212736,191139227508,186845,169606,46.295102,2.739949
VINAY,87761726,153885,159516389687,186173,169342,45.20797,5.41005
BOUTIGNY,87681478,206851,195368310974,183553,168972,48.43495,2.37636
SAINT JORY,87611657,198013,186020121608,194141,168739,43.738375,1.3716190000000001
LA CHARITE SUR LOIRE,87696195,197943,188859072157,193152,168709,47.179914000000004,3.023883
L'AIGLE,87444638,158444,170803993895,172903,168438,48.766228999999996,0.6200140000000001
CHAMONIX MONT BLANC,87746784,190371,179657059115,178591,168310,45.92277,6.87363
SAINT SULPICE AUTEUIL,87313684,178473,190145515943,187097,168128,49.347382399999994,2.1164132999999996
LA SUZE,87396366,189437,190340132467,185663,167541,47.8919891,0.026636700000000003
FUTUROSCOPE,87324095,204514,220636108227,222982,167515,46.669918,0.377209
SAINT MARIENS SAINT YZAN,87491209,144821,146244297815,158800,167479,45.139072,-0.39178240000000003
LA MENITRE,87487884,163319,169405985835,178319,167257,47.397422,-0.275818
DIJON PORTE NEUVE,87713008,187203,180774503052,183258,166537,47.322806,5.0548720000000005
VILLEFRANCHE VERNET LES BAINS,87784686,187267,18490375,186293,166458,42.591998,2.370396
SAINT ASTIER,87595249,197403,193501467767,194969,165785,45.139027,0.5228079999999999
CASTILLON,87584136,187413,1735637974,186208,165780,44.856999,-0.04066
CAZERES,87611079,212450,203795514603,213813,165156,43.212834,1.083106
LUTZELHOUSE,87214650,198824,189235984288,190586,164963,48.51812,7.29391
BAYON,87141218,182594,17564255021,176138,163956,48.468046,6.3225690000000005
QUESTEMBERT,87476671,137833,13381376715,149780,163621,47.6831803,-2.4496002
SORGUES CHATEAUNEUF DU PAPE,87765206,111465,149613831741,214309,163541,44.0053909,4.8756182
MOIRANS LA GALIFETTE,87747691,109829,110020475766,143683,163353,45.324154,5.565169999999999
CRECY LA CHAPELLE,87116772,172569,171003442339,168691,163263,48.859390999999995,2.905748
BRUZ,87471037,132642,135118365087,150068,162636,48.0286,-1.7518088
CLERES,87411819,160881,15819068655,163678,162020,49.598964,1.106184
SAINT PRIEST,87723353,155160,142149889018,158872,161741,45.686659000000006,4.934242
VERTAIZON,87734426,165368,155952510435,172772,161403,45.784543,3.288269
NIEDERBRONN LES BAINS,87213256,161539,163979298935,160698,161319,48.9523989,7.6341348
ARGENTON SUR CREUSE,87597120,170559,15776919215,168092,161190,46.592248,1.518305
LANDIVISIAU,87474270,165764,155315664662,156427,161156,48.496002000000004,-4.082180999999999
FEGERSHEIM LIPSHEIM,87212266,204680,215753140972,176345,160948,48.4905892,7.6724806
RIEUX ANGICOURT,87276352,191072,184705572283,180836,160918,49.29866,2.5214
WINGEN SUR MODER,87213744,164203,162486622613,163474,160501,48.9200646,7.3811114
MONTPON MENESTEROL,87595322,167973,171629436397,174259,160437,45.006326,0.159328
SAVERDUN,87611368,195790,19347563565,213828,160435,43.239357,1.570616
COGNAC,87491449,193217,17594918601,188604,160092,45.684682,-0.326112
MONTS,87575035,158459,153860750587,157747,158936,47.2818,0.6544800000000001
TONNERRE,87713198,172146,16095363521,171573,158832,47.85938,3.97355
ESQUELBECQ,87281113,130765,137749162242,152605,157838,50.8894369,2.4121536
