gares,UIC,2015,2016,2017,2018,latitude,longitude
ANGERS SAINT LAUD,87484006,8325666,825853685033,8687733,8265338,47.464647,-0.55682
PANTIN,87113209,8492467,855196569521,8430791,8148816,48.898096,2.4006849999999997
SAVIGNY SUR ORGE,87545236,7463333,773744014335,7998447,8086690,48.676140000000004,2.35173
VERT GALANT,87271437,8253223,82705022207,8244365,8075595,48.94467,2.5667
ROUEN RIVE DROITE,87411017,8396797,794773357542,8284308,7957459,49.448764000000004,1.094087
SAINT CLOUD,87382358,8618406,846210345885,8281143,7950392,48.84541,2.21687
DIJON,87713040,8323892,797432537269,8388538,7835231,47.323370000000004,5.027208
ENGHIEN LES BAINS,87276022,7560131,766053846411,7760343,7711048,48.97309,2.3069900000000003
AEROPORT CHARLES DE GAULLE 1,87271460,6246860,673194506466,7271679,7686902,49.00956,2.56135
LE MANS,87396002,8127475,791266028003,8176901,7564034,47.995689,0.192578
VERSAILLES CHATEAU RIVE GAUCHE,87393157,8804268,844201749597,8009738,7534964,48.8003635,2.1288273999999996
LYON PERRACHE,87722025,7441559,741271537415,7619399,7471166,45.748476000000004,4.8257330000000005
CERGY SAINT CHRISTOPHE,87382499,6453027,680629865757,7125540,7359555,49.049615100000004,2.0343975
PONT CARDINET,87381111,4209684,509762363207,6196130,7229482,48.88755,2.31425
CRETEIL POMPADOUR,87608802,6748141,693767414077,7099963,7143659,48.7715403,2.4352763
AMIENS,87313874,7195919,70668331038,7361261,7087454,49.890746,2.312592
CERGY LE HAUT,87382655,6647546,674359288021,6809697,6755489,49.0484932,2.0118725
VIGNEUX SUR SEINE,87681304,6569971,668082359477,6757695,6721343,48.70816,2.41446
MULHOUSE,87182063,6601410,650844845729,6808851,6651754,47.742224,7.342396000000001
BRETIGNY,87545194,6351771,650428954352,6638324,6619481,48.606683000000004,2.302378
GRIGNY CENTRE,87681379,6395274,646203406,6508296,6450305,48.65343,2.395797
ROSNY BOIS PERRIER,87113696,6340945,646443094,6491868,6437012,48.882568,2.480987
COLMAR,87182014,5784270,578911792348,6270745,6372491,48.073201,7.346967
VAL D'ARGENTEUIL,87381798,5738798,588059150809,6051788,6315608,48.95042,2.23088
COLOMBES,87381087,6011575,608338137794,6158247,6301710,48.92383,2.2593900000000002
NANTERRE UNIVERSITE,87386318,5665620,58903930241,6084600,6151526,48.90122,2.2158277
NIMES,87775007,6323409,656278279143,6841918,6116249,43.832291,4.365844999999999
LIEUSAINT MOISSY,87682153,5757090,592782165553,6068833,6098073,48.628305,2.5689349999999997
MARNE LA VALLEE CHESSY,87111849,5426413,540908952724,6016519,5998014,48.869856,2.78272
FRANCONVILLE LE PLESSIS BOUCHARD,87276071,5775381,599002509697,5831267,5959229,48.99358,2.2351400000000003
ISSY VAL DE SEINE,87393306,6247570,622539972618,6140140,5938735,48.8295555,2.2635936
ROSNY SOUS BOIS,87113704,5500737,557998038,5792551,5910127,48.87099,2.48559
GOUSSAINVILLE,87276246,4912463,525696224242,5608444,5865162,49.024073200000004,2.4632464
TOURS,87571000,5944257,58013650125,6095416,5863480,47.389781,0.693703
SEVRAN LIVRY,87271429,5915390,59379069918,5931146,5827067,48.936009999999996,2.53484
CREIL,87276006,5961427,614863690111,6340007,5758902,49.263757,2.4692439
SARCELLES SAINT BRICE,87276386,5515942,55456126912,5658290,5684113,48.995290000000004,2.3686700000000003
AIX EN PROVENCE TGV,87319012,5212927,523550564308,5690886,5534968,43.455237,5.317533999999999
BOIS COLOMBES,87381079,5290913,537960845233,5475483,5454610,48.91348,2.27256
VIROFLAY RIVE GAUCHE,87393215,4369536,468887800605,4972943,5337789,48.800517,2.1711466
CONFLANS FIN D'OISE,87381459,5498687,549054660461,5476739,5332767,48.989309999999996,2.07465
VERSAILLES RIVE DROITE,87382861,5418728,532781089161,5331468,5231513,48.809652500000006,2.1347522999999997
AVIGNON TGV,87318964,5486974,537990638201,5460402,5176745,43.921586,4.786079
GAGNY,87113514,5124410,519618122,5217076,5138356,48.883125,2.5271060000000003
ARRAS,87342014,5182086,517288459503,5452299,5075699,50.286673,2.781942
MONTIGNY BEAUCHAMP,87276089,5106707,5192200185,5036237,5030971,49.00758,2.19767
IVRY SUR SEINE,87545301,5040015,516414833919,5034584,5029448,48.814371,2.39099
NEUILLY PORTE MAILLOT,87381020,5908194,568060935014,5342068,5000979,48.877983,2.284516
MUSEE D'ORSAY,87547307,5618417,549233901398,5213150,4989941,48.86079,2.325671
TOULON,87755009,5371539,540243487693,5806743,4977632,43.128370000000004,5.929293
EMERAINVILLE PONTAULT COMBAULT,87116046,5017278,489207464,4940266,4883692,48.806034000000004,2.618004
SAINT CYR,87393223,5173881,511302751715,4959930,4824556,48.7990666,2.0733739
NOGENT LE PERREUX,87113746,4682362,48061912577,4851652,4815980,48.838846000000004,2.4943310000000003
REIMS,87171009,5110555,493616028062,5218502,4793596,49.258978000000006,4.0244349999999995
CONFLANS SAINTE HONORINE,87381897,4403800,462428905757,4771204,4786664,48.99646,2.09783
VILLEPARISIS MITRY LE NEUF,87271510,4161510,438387804684,4594180,4735047,48.95325,2.60243
MONTGERON CROSNE,87682104,4348527,449676458585,4621833,4669094,48.708094,2.462224
PEREIRE LEVALLOIS,87381012,5036124,496720539178,4850376,4654017,48.8853581,2.2979465
VITRY SUR SEINE,87545293,4698190,476086150247,4695475,4650165,48.800768,2.402229
COMBS LA VILLE QUINCY,87682146,4396308,449644026426,4571747,4558669,48.667179,2.547798
MASSY PALAISEAU,87393579,4517527,456744160486,4592605,4512073,48.7264211,2.2575281000000005
CANNES,87757625,4514123,438009911151,4878441,4434290,43.553839,7.019682
LA VERRIERE,87393256,5224188,493064627835,4637464,4420907,48.75569539999999,1.9436740000000001
CLERMONT FERRAND,87734004,4647177,437307844366,4688198,4359247,45.778945,3.100543
SAINT PIERRE DES CORPS,87571240,4446995,444187991813,4621459,4321292,47.386099,0.72355
CHAMBERY CHALLES LES EAUX,87741009,4728250,453029457281,4726917,4308759,45.571302,5.919547000000001
SAVIGNY LE TEMPLE NANDY,87682187,4167641,424949663452,4314266,4299159,48.595519,2.583678
ORLEANS,87543009,4446767,425886743624,4601071,4295598,47.907959999999996,1.904666
LES VALLEES,87386300,4079450,41852813623,4265730,4280459,48.913408000000004,2.257909
LES MUREAUX,87386680,4053572,40546188353,4202245,4272745,48.9927897,1.9129870999999998
PONT DE L'ALMA,87393041,4444555,440733885802,4384798,4249671,48.862570500000004,2.3010287
POITIERS,87575001,4307757,413226195502,4492246,4239924,46.582275,0.333241
SAINT ETIENNE CHATEAUCREUX,87726000,3993621,420321385654,4514547,4233914,45.443366,4.399722
EPINAY SUR SEINE,87271148,2738877,261935221192,4422019,4220828,48.9542084,2.3026142000000003
LE BLANC MESNIL,87271478,3746583,392239114911,4103913,4217939,48.93248,2.4774700000000003
TRAPPES,87393835,4358882,433690040959,4316396,4204053,48.7751158,2.0066335
MANTES LA JOLIE,87381509,4285827,447414853002,4580118,4160632,48.98984,1.70337
PARIS BERCY BOURGOGNE PAYS D'AUVERGNE,87686667,3968276,384262484093,4154918,4133983,48.83917,2.38278
LA GARENNE COLOMBES,87386003,3995177,407320221123,4128855,4106443,48.909395200000006,2.2396414
SAINTE GENEVIEVE DES BOIS,87545210,4019659,404743498323,4118094,4044796,48.653245,2.313161
BOUSSY SAINT ANTOINE,87682138,3725311,385471748604,3963231,4009309,48.680893,2.532726
MASSY TGV,87393702,2800899,327843430435,5038677,3961877,48.725758,2.261254
PORTE DE CLICHY,87111278,4398739,431149130623,4126841,3943517,48.89399,2.31462
BRUNOY,87682120,4604922,440628295071,4197687,3921763,48.699112,2.506422
LAGNY THORIGNY,87116319,3561964,369577230613,3812642,3854604,48.88218325,2.70404228
VALENCE TGV RHONE ALPES SUD,87763029,3845327,390051285851,4213228,3853604,44.991545,4.978703
VALENCIENNES,87343004,3965073,383699451426,4056110,3851104,50.363259,3.517115
SAINT OUEN,87271247,3978403,399784382723,3935467,3836978,48.90531,2.3225700000000002
CORMEILLES EN PARISIS,87381863,3679275,384342264839,4026382,3816371,48.96864,2.19358
COURBEVOIE,87382200,4102998,397065884065,3923050,3806690,48.898309999999995,2.24804
SANNOIS,87276188,3257709,338487244094,3523862,3660733,48.97016,2.26377
YERRES,87682112,3764066,374902043072,3713314,3608729,48.706759000000005,2.48337
