UIC,gares,insee,dep,lat long,geo-2
87582742,Cérons,33120,33,44.6275244428,-0.340440630133
87723452,Cessieu,38064,38,45.569271465,5.37645047761
87682161,Cesson,77067,77,48.5647778926,2.59513296911
87334490,Cesson-Sévigné,35051,35,48.1203997901,-1.59724547986
87582403,Cestas,33122,33,44.7238884052,-0.727104523847
87743302,Ceyzériat,1072,1,46.1834043735,5.31967954241
87592873,Chabanais,16070,16,45.8640583489,0.71137968724
87747212,Châbons,38065,38,45.4481455963,5.42550041008
87576223,Chabris,36034,36,47.2520144987,1.66213307783
87713578,Chagny,71073,71,46.8987138154,4.77499368945
87574111,Chaingy,45067,45,47.8911955852,1.77324135393
87583690,Chalais,16073,16,45.2747768533,0.0386346599356
87142125,Chalindrey,52093,52,47.7927179582,5.44312076854
87481390,Challans,85047,85,46.8355912571,-1.83988584343
87725002,Chalon-sur-Saône,71076,71,46.7898947705,4.85245080533
87484204,Chalonnes-sur-Loire,49063,49,47.3497293688,-0.774055596907
87174003,Châlons-en-Champagne,51108,51,48.9643927971,4.37849643361
87734731,Chamalières-sur-Loire,43049,43,45.1872891058,3.98097183359
87545152,Chamarande,91132,91,48.5168540432,2.21798534515
87741009,Chambéry,73065,73,45.5836128034,5.90882461017
87276725,Chambly,60139,60,49.1717306681,2.24619144132
87775221,Chamborigaud,30080,30,44.3000607475,3.96244708241
87571463,Chambourg-sur-Indre,37049,37,47.1723707502,0.968791979086
87721829,Chamelet,69039,69,45.9844998796,4.49896349136
87462085,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746768,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746776,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746784,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746818,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746826,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746834,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746842,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746859,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87746867,Chamonix-Mont-Blanc,74056,74,45.9312866524,6.92402669579
87741231,Chamousset,73068,73,45.5650575021,6.20649006329
87396275,Champagné,72054,72,48.0165154252,0.334707190152
87276519,Champagne-sur-Oise,95134,95,49.1425103785,2.22834589932
87682450,Champagne-sur-Seine,77079,77,48.4089819875,2.80774181048
87185348,Champagney,70120,70,47.6954508654,6.68871831644
87352047,Champagnole,39097,39,46.7449755089,5.89836035977
87715326,Champagnole,39097,39,46.7449755089,5.89836035977
87141085,Champigneulles,54115,54,48.7208660379,6.12242512024
87683128,Champigny,89074,89,48.3048717823,3.13215743329
87113779,Champigny-sur-Marne,94017,94,48.8173976052,2.51698744819
87683615,Champs-sur-Yonne,89077,89,47.751196745,3.60173347765
87484352,Champtocé-sur-Loire,49068,49,47.430248989,-0.874284862414
87783530,Chanac,48039,48,44.4502633322,3.34444679631
87116509,Changis-sur-Marne,77084,77,48.9661425463,3.02439447948
87381475,Chanteloup-les-Vignes,78138,78,48.9758552264,2.03225186344
87696302,Chantenay-Saint-Imbert,58057,58,46.7393939866,3.17162722318
87276113,Chantilly,60141,60,49.1763534717,2.48119940662
87486332,Chantonnay,85051,85,46.669186273,-1.04412591532
87722710,Chaponost,69043,69,45.7090613802,4.7455486743
87721530,Charbonnières-les-Bains,69044,69,45.7801139255,4.74324519737
87721704,Charbonnières-les-Bains,69044,69,45.7801139255,4.74324519737
87172007,Charleville-Mézières,8105,8,49.775019226,4.71704483918
87172155,Charleville-Mézières,8105,8,49.775019226,4.71704483918
87144055,Charmes,88090,88,48.3848350956,6.31857753844
87381194,Chars,95142,95,49.1578140013,1.93080216758
87394007,Chartres,28085,28,48.4470910901,1.50566098352
87682419,Chartrettes,77096,77,48.4944051998,2.71285985341
87722561,Chasse-sur-Rhône,38087,38,45.5796995692,4.8141940799
87324095,Chasseneuil-du-Poitou,86062,86,46.6518499843,0.361992916378
87575225,Chasseneuil-du-Poitou,86062,86,46.6518499843,0.361992916378
87583443,Chasseneuil-sur-Bonnieure,16085,16,45.8242717261,0.441407409852
87751230,Château-Arnoux-Saint-Auban,4049,4,44.0851617256,5.99237983109
87595165,Château-l'Évêque,24115,24,45.2591818581,0.686442693604
87574665,Château-Renault,37063,37,47.5925722196,0.909053437237
87116582,Château-Thierry,2168,2,49.0564247682,3.38154262598
87471524,Châteaubourg,35068,35,48.1198084104,-1.40403984461
87481648,Châteaubriant,44036,44,47.7221776732,-1.38683923847
87590372,Châteaubriant,44036,44,47.7221776732,-1.38683923847
87545756,Châteaudun,28088,28,48.0766462742,1.32644168295
87474064,Châteaulin,29026,29,48.2029556473,-4.07374454631
87765446,Châteauneuf-de-Gadagne,84036,84,43.9280567779,4.94255205147
87491506,Châteauneuf-sur-Charente,16090,16,45.5963486908,-0.0516148850704
87576298,Châteauneuf-sur-Cher,18058,18,46.8667778342,2.33926173203
87597005,Châteauroux,36044,36,46.8031870811,1.69366812465
87696856,Châtel-Censoir,89091,89,47.5234091068,3.63827370188
87485110,Châtelaillon-Plage,17094,17,46.0722345567,-1.08303267446
87473140,Châtelaudren-Plouagat,22206,22,48.5303872909,-2.98957492101
87575142,Châtellerault,86066,86,46.8155971111,0.552729886425
87575167,Châtellerault,86066,86,46.8155971111,0.552729886425
87721753,Châtillon,69050,69,45.8707283821,4.64201144758
87694778,Chauffailles,71120,71,46.2065378682,4.34197899419
87712679,Chaugey,21157,21,47.7455451932,4.94964565226
87313478,Chaulnes,80186,80,49.8175375456,2.80094130164
87142000,Chaumont,52121,52,48.0978911157,5.13982661213
87381228,Chaumont-en-Vexin,60143,60,49.2732962153,1.88209875624
87296616,Chauny,2173,2,49.6195388116,3.21913843521
87715383,Chaux-des-Crotenay,39129,39,46.6632855453,5.95712466794
87382333,Chaville,92022,92,48.8074732762,2.19208957335
87393207,Chaville,92022,92,48.8074732762,2.19208957335
87694398,Cheilly-lès-Maranges,71122,71,46.8925594587,4.66670781678
87116111,Chelles,77108,77,48.8839794777,2.59709128446
87484246,Chemillé-en-Anjou,49092,49,47.220621066,-0.70454804592
87683532,Chemilly-sur-Yonne,89096,89,47.8966426402,3.55785882413
87141382,Chenevières,54125,54,48.5218491763,6.63831866738
87574491,Chenonceaux,37070,37,47.3405141586,1.07051510246
87444877,Cherbourg-en-Cotentin,50129,50,49.6317533359,-1.62092850279
87111849,Chessy,77111,77,48.8721858444,2.77026778457
87721761,Chessy,69056,69,45.8907102849,4.61687122406
87471458,Chevaigné,35079,35,48.2244459546,-1.63630597472
87175117,Chevillon,52123,52,48.5307243552,5.14463483268
87543041,Chevilly,45093,45,48.0299698611,1.89353491876
87184259,Chèvremont,90026,90,47.6281054845,6.92984748258
87276311,Chevrières,60149,60,49.3463332547,2.67887128666
87116574,Chézy-sur-Marne,2186,2,48.9844272404,3.38235720214
87393637,Chilly-Mazarin,91161,91,48.7074593738,2.31157256822
87741116,Chindrieux,73085,73,45.8135752173,5.84493445264
87571687,Chinon,37072,37,47.172099635,0.244987799157
87574848,Chissay-en-Touraine,41051,41,47.3538168068,1.13563887254
87342220,Chocques,62224,62,50.5408250039,2.56221149802
87545285,Choisy-le-Roi,94022,94,48.7642586898,2.41718236507
87484303,Cholet,49099,49,47.0456545576,-0.877533505542
87763425,Chorges,5040,5,44.5456934312,6.28803195721
87571794,Chouzé-sur-Loire,37074,37,47.2465730084,0.109155012861
87571836,Cinq-Mars-la-Pile,37077,37,47.3538203353,0.453292342401
87611376,Cintegabelle,31145,31,43.3065444678,1.53560724045
87313551,Cires-lès-Mello,60155,60,49.2622953273,2.33782807349
87694646,Ciry-le-Noble,71132,71,46.5964956045,4.29792188318
87721746,Civrieux-d'Azergues,69059,69,45.8547089726,4.71114559336
87296178,Clacy-et-Thierret,2196,2,49.5524172336,3.56567809011
87391565,Clamart,92023,92,48.7964563521,2.25429952162
87696807,Clamecy,58079,58,47.461165935,3.51082005775
87747626,Clelles,38113,38,44.8246434819,5.62871476291
87411819,Clères,76179,76,49.5910614864,1.10362622116
87313304,Clermont,60157,60,49.3782553188,2.40907056952
87175737,Clermont-en-Argonne,55117,55,49.1088617141,5.08128968775
87396895,Clermont-Ferrand,63113,63,45.7859128833,3.11540118726
87734004,Clermont-Ferrand,63113,63,45.7859128833,3.11540118726
87782607,Clermont-Ferrand,63113,63,45.7859128833,3.11540118726
87481440,Clisson,44043,44,47.0974742991,-1.27082546127
87574509,Cloyes-les-Trois-Rivières,28103,28,48.000616777,1.29045595726
87746370,Cluses,74081,74,46.0631978578,6.57963637112
87672139,Coarraze,64191,64,43.1678725316,-0.209097149002
87491449,Cognac,16102,16,45.6963601273,-0.335277320207
87393272,Coignières,78168,78,48.7498911638,1.91393202475
87784256,Collioure,66053,66,42.5130059217,3.07264730791
87721225,Collonges-au-Mont-d'Or,69063,69,45.8220900444,4.84259424637
