gares,total_2018,latitude,longitude
JEUMONT,73200,50.29606,4.08645
JOIGNY,326242,47.973843,3.393082
JONZAC,99371,45.4387456,-0.44164
JOUE LES TOURS,54472,47.3541741,0.6675585999999999
JOUY,96491,48.5102582,1.5573972
JUAN LES PINS,674569,43.570896000000005,7.111439999999999
LA BARASSE,8554,43.285838399999996,5.4845101
LA BAULE ESCOUBLAC,430546,47.28869,-2.389102
LA BAULE LES PINS,21261,47.2835196,-2.3648441000000004
LA BERNERIE EN RETZ,23817,47.08326160000001,-2.0341408
LA BOHALLE,24016,47.4342356,-0.40004259999999997
LA BONNEVILLE SUR ITON,6705,48.9884615,1.0350139999999999
LA BRIGUE,2694,44.0625669,7.6056235
LA BRILLANNE ORAISON,36763,43.9247771,5.8923199
LA BROHINIERE,11065,48.2134717,-2.110452
LA CHAIZE LE VICOMTE,4720,46.676778999999996,-1.2820678
LA CHAPELLE CENTRE,25404,47.297202899999995,-1.5480120000000002
LA CHARITE SUR LOIRE,134967,47.179914000000004,3.023883
LA CLAYETTE BAUDEMONT,24523,46.2881469,4.2984195
LA COQUILLE,17110,45.540850899999995,0.9744004999999999
LA COURONNE CARRO,21672,43.339807799999996,5.051707700000001
LA CRAU,56357,43.1449352,6.0687663
LA FERE,104921,49.65802,3.3698099999999998
LA FERTE BERNARD,286134,48.186488700000005,0.6397109999999999
LA FERTE IMBAULT,11904,47.3835442,1.9580537
LA FERTE MILON,97098,49.1797269,3.1207222999999997
LA FONTAINE,3634,50.566145899999995,2.9261079
LA FOUILLOUSE,6627,45.4977675,4.317083900000001
LA FRAYERE,58456,43.5581088,6.9720902
LA GARDE,108379,43.1187044,6.0100767
LA HUME,125580,44.639879,-1.116
LA HUTTE COULOMBIERS,14966,48.303495,0.1056788
LA JARRIE,9346,46.12045,-1.02347
LA JONCHERE,12394,45.994457700000005,1.4803853
LA MARCHE,413,47.1396975,3.0395467999999997
LA MENITRE,133806,47.397422,-0.275818
LA MIOUZE ROCHEFORT,530,45.7636525,2.8276967999999996
LA MOTHE ACHARD,50511,46.6068648,-1.6596359
LA PAULINE HYERES,96754,43.1364769,6.0351027
LA PENNE SUR HUVEAUNE,65286,43.2846765,5.5155698
LA POMME,5903,43.290516499999995,5.4413152
LA POSSONNIERE,109779,47.3713848,-0.6917009
LA REDONNE ENSUES,41776,43.33447,5.1975675
LA REOLE,195791,44.579741999999996,-0.03057
LA RICAMARIE,7720,45.4041516,4.360686
LA RIVIERE DE MANSAC,177,45.139681,1.3655086
LA ROCHE MAURICE,13113,48.4740885,-4.2050964
LA ROCHE SUR FORON,344195,46.06756,6.303885
LA ROCHE SUR YON,847396,46.67212,-1.4356209999999998
LA ROCHEFOUCAULD,3766,45.7401921,0.3895946
LA SEYNE SIX FOURS,293355,43.116959,5.876966
LA SOUTERRAINE,179872,46.239792,1.492151
LA SUZE,134033,47.8919891,0.026636700000000003
LA TESTE,336431,44.636924,-1.14295
LA TOUR DE SALVAGNY,127182,45.799881799999994,4.716492099999999
LA TOUR DU PIN,844473,45.560277,5.450092
LA TRINITE VICTOR,55930,43.7427854,7.3114604000000005
LA VALBONNE,180282,45.849225,5.124911
LA VERPILLIERE,850344,45.6276,5.150866000000001
LABEGE INNOPOLE,144726,43.5473613,1.5129784
LABEGE VILLAGE,9169,43.530536700000006,1.5329207
LABENNE,30245,43.587050899999994,-1.4288712
LABOUHEYRE,61925,44.2106292,-0.9209296
LABRUGUIERE,5795,43.5425692,2.2594727999999997
LACOURTENSOURT,30550,43.6638838,1.4138687
LAGUEPIE,4258,44.1455256,1.9692195
LALBENQUE FONTANES,5380,44.3332389,1.5116628
LALINDE,22985,44.8396152,0.7427811
LAMAGISTERE,18339,44.1267231,0.8255002
LAMANON,30637,43.6999662,5.0913333
LAMBALLE,444534,48.46606,-2.511546
LAMOTHE LANDERRON,2429,44.5628433,0.0451406
LAMOTHE MONTRAVEL,3147,44.8537384,0.0215683
LAMURE SUR AZERGUES,21666,46.061083399999994,4.4921137
LANCERF,358,48.761873,-3.1181396
LANCEY,139352,45.2344784,5.8809758
LANDERNEAU,567152,48.453571999999994,-4.256528
LANDEVANT,40947,47.759578000000005,-3.1251312999999996
LANDIVISIAU,128925,48.496002000000004,-4.082180999999999
LANDRECIES,17320,50.1283138,3.681997
LANDRY,35932,45.574171299999996,6.7338182
LANGEAC,20721,45.10125,3.490672
LANGEAIS,212658,47.324114,0.41055699999999995
LANGOGNE,25211,44.732776,3.8573047
LANGON,701339,44.555448,-0.25554
LANNEMEZAN,73290,43.114273,0.387367
LANNION,192072,48.727638,-3.460353
LAON,677171,49.570609999999995,3.6244300000000003
LAPEYROUSE,4130,46.2267825,2.893393
LAQUEUILLE,4582,45.646820500000004,2.7046523999999996
LARAGNE,20265,44.3164984,5.8189832
LARCHE,16,45.1321707,1.416143
LARDENNE,14783,43.5966262,1.3839252
LAROCHE MIGENNES,340741,47.960998,3.5131910000000004
LAROQUEBROU,3546,44.964165799999996,2.1929167
LATHUS,537,46.3380917,0.965009
LATOUR DE CAROL ENVEITG,47425,42.4590464,1.9045026999999999
