gares,UIC,2015,2016,2017,2018,latitude,longitude
VERNON GIVERNY,87415604,2177390,2164534,2302467,2113097,49.091336,1.4785700000000002
CREPY EN VALOIS,87271593,1951551,2196845,2653817,2104530,49.231235,2.8864693999999997
DUNKERQUE,87281006,2192362,2101681,2196217,2079125,51.03047,2.368961
BOURG EN BRESSE,87743005,2230804,2160019,2267600,2078542,46.200351,5.215063
LE HAVRE,87413013,2187132,2026261,2177533,2064894,49.492996000000005,0.125677
HAGUENAU,87213058,1993420,1966985,2078626,2057877,48.813449799999994,7.782725500000001
MONTARGIS,87684001,1992560,1997464,2092101,2056804,48.006862,2.742783
HAZEBROUCK,87286302,2107672,2055747,2154475,2024306,50.72501,2.54129
ANGOULEME,87583005,2020819,1986721,2158917,2014635,45.653572,0.164608
LENS,87345025,2132431,2138150,2198889,1994360,50.426818,2.8282540000000003
LES AUBRAIS,87543017,2118157,2025662,2083701,1981365,47.926801,1.9066290000000001
VIENNE,87722587,1863346,1865219,2002666,1949525,45.521207000000004,4.874211
MOLSHEIM,87214577,1940185,1955989,2007002,1941191,48.53705,7.500439999999999
DREUX,87393488,2230077,2066852,2031177,1838875,48.731456099999996,1.3701603999999998
BLOIS CHAMBORD,87574004,1918919,1874320,1970757,1832376,47.585445,1.323823
ORRY LA VILLE COYE,87276279,1814885,1859901,1967922,1831856,49.13895,2.49
LIMOGES BENEDICTINS,87592006,2139413,2054662,2120295,1823482,45.836089,1.267356
LYON SAINT PAUL,87721159,1482615,1623597,1826738,1792549,45.766009999999994,4.827057
LAVAL,87478404,1664147,1666349,1757286,1786886,48.076206,-0.760907
VANNES,87476606,1653574,1656187,1803977,1765740,47.665169,-2.75245
NICE SAINT AUGUSTIN,87756254,1345721,1427720,1852579,1746451,43.670728000000004,7.2161990000000005
EPERNON,87394114,1892494,1826139,1820802,1740343,48.6052471,1.6812578
LORIENT BRETAGNE SUD,87476002,1668636,1642185,1750848,1721608,47.755596999999995,-3.366221
PERPIGNAN,87784009,2197968,1952608,2036464,1713031,42.696292,2.879779
BEAUVAIS,87313510,1683465,1724446,1753022,1623600,49.42648,2.08869
AIX LES BAINS LE REVARD,87741132,1624127,1619647,1713011,1609468,45.688161,5.909371
LIBOURNE,87584052,1608739,1646338,1661500,1548977,44.915888,-0.236344
CHALON SUR SAONE,87725002,1765939,1621767,1708684,1548072,46.781612,4.843454
SAINT BRIEUC,87473009,1522386,1522279,1596582,1544106,48.50758,-2.765
NARBONNE,87781104,1799799,1885077,1872714,1531995,43.190387,3.0059099999999996
BEZIERS,87781005,1572243,1717924,1802366,1517639,43.33633,3.218873
SAINT LOUIS,87182139,1395997,1403202,1495780,1517138,47.5906094,7.5559882
SAVERNE,87212225,1512530,1482591,1506016,1504905,48.744460600000004,7.362080199999999
VOIRON,87747287,1545443,1513107,1587578,1496416,45.364036999999996,5.595054
